botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
KrBot,1524,2010,7,0,1647,0,0,0
DeltaBot,0,310,0,6,24,0,0,0
ProteinBoxBot,25,48913,0,0,0,0,0,0
QuickStatementsBot,21991,105242,47207,0,68598,0,0,0
MatSuBot,0,9325,0,0,0,0,0,0
JarBot,0,6477,0,0,0,0,0,0
CommonsDelinker,0,48,0,0,43,0,0,0
Cewbot,0,0,1168,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,7,0
Reinheitsgebot,57,3060,0,15,0,0,0,0
EranBot,0,0,60,0,0,0,0,0
EmausBot,3,195,0,24,0,0,0,0
Github-wiki-bot,0,267,0,0,67,0,0,0
Rezabot,0,4,0,0,0,0,0,0
Pi bot,0,811,0,0,0,0,0,0
SuccuBot,0,291,3,0,19,0,0,0
PLbot,191,101,0,0,1,0,0,0
Florentyna,3,183,15,3,0,0,0,1
Dexbot,0,3,0,0,0,0,0,0
PreferentialBot,0,2,0,0,0,0,0,0
Krdbot,0,0,1,2,0,0,0,0
Robbot,0,419,0,0,0,0,0,0
Mr.Ibrahembot,26,93,60,85,0,0,0,0
KasparBot,0,116,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
William Avery Bot,0,0,0,4,0,0,0,0
ZkBot,0,13,0,3,0,0,0,0
BotMultichillT,0,54,0,0,3,0,0,0
Citationgraph bot 2,0,117720,0,0,0,0,0,0
MicrobeBot,0,655,0,0,0,0,0,0
NikkiBot,0,79783,4863,0,0,0,0,0
PintochBot,0,41584,0,0,0,0,0,0
Peter17-Bot,0,21,0,0,0,0,0,0
Citationgraph bot,0,314,0,0,0,0,0,0
TptBot,0,32,0,0,0,0,0,0
Edoderoobot,0,55670,0,0,0,0,0,0
MalarzBOT,0,0,2,0,0,0,0,0
NoclaimsBot,0,14,0,0,0,0,0,0
ShonagonBot,0,15,0,0,0,0,0,0
