botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
JneubertAutomated,0.0,0.010676761857734618,0.0,0.0,2.0,0,0.0,0.0
DeltaBot,0.0,0.014511837160178861,0.0,0.052,29.0,0,0.0,0.0
Cewbot,0.0,0.0,0.03237190174502612,0.0,0.0,0,0.0,0.0
KrBot,0.0,0.23145968781718926,0.0,0.0,304.0,0,0.0,0.0
MatSuBot,0.0,0.012355636024469865,0.0,0.0,0.0,0,0.0,0.0
Pi bot,0.0,0.009683702301593834,0.0,0.0,0.0,0,0.0,0.0
AGbot,0.0,0.1453049131758703,0.0,0.0,13243.0,0,0.0,1.0
EmausBot,0.00046603906738924914,0.02634076756371218,0.0,0.12,0.0,0,0.0,0.0
Reinheitsgebot,0.0008655011251514627,0.007516528132115326,0.0,0.02,0.0,0,0.0,0.0
Escarbot,0.0,0.003094395523002222,0.0,0.0,0.0,0,0.0,0.0
KabouterBot,0.0,0.00043892135078045703,0.0,0.0,0.0,0,0.0,0.0
QuickStatementsBot,0.08768192167880587,0.10281732642032206,0.9312826497721463,0.0,10238.0,0,0.0,0.0
CommonsDelinker,0.0,0.00027981236112254137,0.0,0.0,47.0,0,0.0,0.0
JarBot,0.0,0.01588346638136779,0.0,0.0,0.0,0,0.0,0.0
EranBot,0.0,0.0,0.0010003334444814939,0.0,0.0,0,0.0,0.0
Edoderoobot,0.0,0.1785586920143747,0.0,0.0,0.0,0,0.0,0.0
NikkiBot,0.0,0.26348448687350834,0.03348338335000556,0.0,72.0,0,0.0,0.0
SuccuBot,0.001105178359808791,0.0003950292157024113,0.0,0.0,0.0,0,0.0,0.0
Mr.Ibrahembot,0.0004926698712400634,0.002348229226675445,0.0016950094475936424,0.736,0.0,0,0.0,0.0
PreferentialBot,0.0,5.486516884755713e-05,0.0,0.0,0.0,0,0.0,0.0
CyclingInitBot,0.0010252859482563481,0.003878967437522289,0.0,0.0,0.0,0,0.0,0.0
Github-wiki-bot,0.0,0.0006583820261706855,0.0,0.0,25.0,0,0.0,0.0
PLbot,0.0023035645330954316,0.000515732587167037,0.0,0.0,1.0,0,0.0,0.0
ProteinBoxBot,0.0,2.7432584423778564e-05,0.0,0.0,0.0,0,0.0,0.0
Krdbot,0.0,0.0,0.00011114816049794375,0.028,0.0,0,0.0,0.0
ZkBot,0.0,0.00019202809096644996,0.0,0.004,0.0,0,0.0,0.0
TptBot,0.0,0.00010424382081035855,0.0,0.0,2.0,0,0.0,0.0
ValterVBot,0.0,1.0973033769511426e-05,0.0,0.0,0.0,0,0.0,0.0
Florentyna,0.0,6.583820261706855e-05,5.5574080248971876e-05,0.036,0.0,0,0.0,0.0
KasparBot,0.0,0.00010973033769511426,0.0,0.0,0.0,0,0.0,0.0
Atobot,0.0,0.0,0.0,0.004,0.0,0,0.0,0.0
BotMultichillT,0.0,0.00011521685457986997,0.0,0.0,2.0,0,0.0,0.0
Dexbot,0.0,5.486516884755713e-06,0.0,0.0,0.0,0,0.0,0.0
ListeriaBot,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
EdgarsBot,0.0,0.00021946067539022852,0.0,0.0,0.0,0,0.0,0.0
Peter17-Bot,5.326160770162847e-05,0.04535154856939072,0.0,0.0,0.0,0,0.0,0.0
JAnDbot,0.0,0.007297067456725098,0.0,0.0,0.0,0,0.0,0.0
Citationgraph bot,0.0,0.1233149535017694,0.0,0.0,0.0,0,0.0,0.0
PintochBot,0.0,0.165659890818314,0.0,0.0,0.0,0,0.0,0.0
NoclaimsBot,0.0,5.486516884755713e-05,0.0,0.0,0.0,0,0.0,0.0
ShonagonBot,0.0,3.840561819328999e-05,0.0,0.0,0.0,0,0.0,0.0
Pathwaybot,5.326160770162847e-05,0.0,0.0,0.0,0.0,0,0.0,0.0
Robbot,0.0,0.0004663539352042356,0.0,0.0,0.0,0,0.0,0.0
