botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,161,0,6,34,0,0,0
KrBot,1722,1981,0,1,1338,0,0,0
MatSuBot,84,8936,0,0,30,0,0,0
MidleadingBot,0,0,0,187,0,0,0,0
Pigsonthewing-bot,2019,0,0,0,0,0,0,0
PreferentialBot,0,27,0,0,0,0,0,0
JarBot,0,738,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
Pi bot,0,787,0,0,0,0,0,0
EmausBot,3,125,0,37,0,0,0,0
PLbot,458,123,0,0,1,0,0,0
Reinheitsgebot,43,2742,0,14,0,0,0,0
CommonsDelinker,0,58,0,0,52,0,0,0
Dexbot,0,16,0,0,0,0,0,0
JAnDbot,725,2596,0,0,0,0,0,0
EranBot,0,0,42,0,0,0,0,0
Github-wiki-bot,0,248,0,0,77,0,0,0
ProteinBoxBot,0,11,0,0,0,0,0,0
QuickStatementsBot,15091,120008,20003,0,82818,0,0,0
Krdbot,0,0,1,2,0,0,0,0
Florentyna,0,65,1,24,2,0,0,1
Peter17-Bot,0,21,0,0,0,0,0,0
UrbanecmBot,0,2,0,0,0,0,0,0
Robbot,0,404,0,0,0,0,0,0
MineoBot,0,4,0,0,0,0,0,0
KasparBot,0,120,0,0,0,0,0,0
Mr.Ibrahembot,38,39,69,128,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
ValterVBot,0,1,0,0,0,0,0,0
SuccuBot,0,25,0,0,2,0,0,0
ZkBot,0,1,0,0,0,0,0,0
Citationgraph bot 2,0,116723,0,0,0,0,0,0
Mbchbot,0,1,0,0,0,0,0,0
NikkiBot,0,64619,784,0,0,0,0,0
BotMultichillT,0,2,0,0,0,0,0,0
Citationgraph bot,0,370,0,0,0,0,0,0
PintochBot,0,1800,0,0,0,0,0,0
Edoderoobot,0,101810,0,0,0,0,0,0
NoclaimsBot,0,19,0,0,0,0,0,0
ShonagonBot,0,6,0,0,0,0,0,0
