botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
QuickStatementsBot,8096,23548,39395,13503,17194,0,0,0
CommonsDelinker,0,65,0,0,48,0,0,0
DeltaBot,0,1536,0,11,14,0,0,0
KrBot,4435,85397,338,48,1325,0,0,0
DanmicholoBot,0,2141,0,0,0,0,0,0
EmausBot,20,154,0,23,0,0,0,0
PLbot,394,5130,0,0,1,0,0,0
Choboty,0,30,0,1966,0,0,0,0
Reinheitsgebot,47,1562,0,26,0,0,0,0
MatSuBot,0,1403,0,0,0,0,0,0
Pi bot,0,3404,0,0,9,0,0,0
JarBot,0,121,0,0,0,0,0,0
Edoderoobot,0,58751,0,0,0,0,0,0
EranBot,0,0,34,0,0,0,0,0
PreferentialBot,0,6,0,0,0,0,0,0
Github-wiki-bot,0,673,0,0,207,0,0,0
CyclingInitBot,4,158,0,0,80,0,0,0
UrbanecmBot,0,4,0,0,0,0,0,0
Robbot,0,176,0,0,0,0,0,0
SuccuBot,66,194,0,190,4,0,0,0
KabouterBot,0,166,0,0,0,0,0,0
Florentyna,0,7,4,2,0,0,0,0
Dexbot,0,13,0,1,0,0,0,0
KasparBot,0,172,0,0,0,0,0,0
Mr.Ibrahembot,38,11,189,255,0,0,0,0
Rezabot,0,6,0,0,0,0,0,0
Peter17-Bot,0,6520,0,0,0,0,0,0
Emijrpbot,0,28,0,0,0,0,0,0
Aosbot,0,6,0,0,0,0,0,0
ZkBot,0,97,0,3,0,0,0,0
ListeriaBot,0,0,0,0,0,0,4,0
Krdbot,0,0,1,3,0,0,0,0
BotMultichillT,0,20,0,0,0,0,0,0
Citationgraph bot 2,0,78011,0,0,0,0,0,0
NikkiBot,0,78300,0,0,0,0,0,0
Citationgraph bot,0,9484,0,0,0,0,0,0
Mbchbot,0,1,0,0,0,0,0,0
EdgarsBot,0,6,0,0,0,0,0,0
NoclaimsBot,0,2,0,0,0,0,0,0
Frettiebot,0,23076,0,0,13847,0,0,0
