botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
QuickStatementsBot,22322,87511,15477,0,52453,0,0,0
Lingua Libre Bot,0,274,0,0,0,0,0,0
CommonsDelinker,0,48,0,0,41,0,0,0
DeltaBot,0,1960,0,9,26,0,0,0
MatSuBot,0,4565,0,0,24,0,0,0
Reinheitsgebot,51,3256,0,13,0,0,0,0
EmausBot,1,307,0,91,0,0,0,0
Choboty,0,1126,0,0,0,0,0,0
KabouterBot,0,405,0,0,0,0,0,0
ProteinBoxBot,19,34637,0,0,0,0,0,0
Pi bot,0,647,0,0,0,0,0,0
EranBot,0,0,13,0,0,0,0,0
MineoBot,0,4,0,0,0,0,0,0
Chobot,0,81,0,0,0,0,0,0
Github-wiki-bot,0,116,0,0,24,0,0,0
PLbot,282,103,0,0,1,0,0,0
Robbot,0,480,0,0,0,0,0,0
KasparBot,0,88,0,0,0,0,0,0
SuccuBot,0,0,821,0,0,0,0,0
Rezabot,0,14,0,0,0,0,0,0
BotMultichillT,0,55,0,0,5,0,0,0
Krdbot,0,0,2,3,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
Peter17-Bot,0,20,0,0,0,0,0,0
KrBot,0,18,0,1,12,0,0,0
Dexbot,0,6,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
TptBot,0,49,0,0,0,0,0,0
AliciaFagervingWMSE-bot,6,184,0,0,0,0,0,0
Mr.Ibrahembot,17,0,67,96,0,0,0,0
ZkBot,0,2,0,37,0,0,0,0
NikkiBot,0,36202,875,0,0,0,0,0
ValterVBot,0,4,0,0,0,0,0,0
Citationgraph bot 2,0,118930,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,4,0
BotMultichill,132,2070,0,0,264,0,0,0
Florentyna,0,3,1,0,0,0,0,0
Citationgraph bot,0,3563,0,0,0,0,0,0
PintochBot,0,42834,0,0,0,0,0,0
Edoderoobot,0,91105,0,0,0,0,0,0
NoclaimsBot,0,11,0,0,0,0,0,0
MalarzBOT,0,0,1,0,0,0,0,0
DæghrefnBot,3,5,0,0,0,0,0,0
Steenthbot,365,0,0,0,0,0,0,0
