botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0.0,0.006464388433017542,0.0,0.017741935483870968,0,0,0.0,0.0
EmausBot,3.687043728338618e-06,0.010392641531972764,0.0,0.7048387096774194,0,0,0.0,0.0
MatSuBot,0.0,0.05169672967186452,0.0,0.0,0,0,0.0,0.0
PBot,0.0,0.0003767447416541851,0.0,0.0,0,0,0.0,0.0
PLbot,0.0008000884890494802,0.0005191726317917429,0.0,0.0,0,0,0.0,0.0
Reinheitsgebot,0.00011429835557849716,0.014031444402583918,0.0,0.00967741935483871,0,0,0.0,0.0
KrBot,0.0,0.09194409475589697,0.0036598915103588,0.0016129032258064516,0,0,0.0,0.0
Github-wiki-bot,0.0,0.0002572890918613947,0.0,0.0,0,0,0.0,0.0
DanmicholoBot,0.0,0.0016494068567542981,0.0,0.0,0,0,0.0,0.0
Aosbot,0.0,0.0004318781184816268,0.0,0.0,0,0,0.0,0.0
Pi bot,0.0,0.002747479945234179,0.0,0.0,0,0,0.0,0.0
KabouterBot,0.0,0.0003216113648267434,0.0,0.0,0,0,0.0,0.0
EranBot,0.0,0.0,0.003463825893732436,0.0,0,0,0.0,0.0
CommonsDelinker,0.0,0.00023891129958558078,0.0,0.0,0,0,0.0,0.0
MidleadingBot,0.0,0.0,0.0,0.08387096774193549,0,0,0.0,0.0
Mr.Ibrahembot,0.00013642061794852888,3.6755584551627815e-05,0.0032677602771060714,0.17419354838709677,0,0,0.0,0.0
JAnDbot,0.0,0.0038133918972313857,0.0,0.0,0,0,0.0,0.0
Dexbot,0.0,1.3783344206860429e-05,0.0,0.0016129032258064516,0,0,0.0,0.0
Rezabot,0.0,9.188896137906954e-06,0.0,0.0,0,0,0.0,0.0
KasparBot,0.0,0.0009740229906181371,0.0,0.0,0,0,0.0,0.0
MineoBot,0.0,1.8377792275813908e-05,0.0,0.0,0,0,0.0,0.0
QuickStatementsBot,0.030643020426222255,0.457432438641146,0.8695510097379257,0.0,0,0,0.0,0.0
Krdbot,0.0,0.0,6.535520554212144e-05,0.004838709677419355,0,0,0.0,0.0
PreferentialBot,0.0,9.188896137906954e-06,0.0,0.0,0,0,0.0,0.0
Florentyna,0.0,4.594448068953477e-06,0.0,0.0,0,0,0.0,0.0
Atobot,0.0,0.0,0.0,0.0016129032258064516,0,0,0.0,0.0
BotMultichillT,0.00025440601725536466,0.00035836694937837116,0.0,0.0,0,0,0.0,0.0
NikkiBot,0.0,0.23280987255001057,0.11992680216979282,0.0,0,0,0.0,0.0
Robbot,0.0,0.0021180405597875525,0.0,0.0,0,0,0.0,0.0
ZkBot,0.0,2.2972240344767383e-05,0.0,0.0,0,0,0.0,0.0
Citationgraph bot 2,0.0,0.532289781028605,0.0,0.0,0,0,0.0,0.0
Mbchbot,0.0,1.8377792275813908e-05,0.0,0.0,0,0,0.0,0.0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0.0
TptBot,0.0,3.6755584551627815e-05,0.0,0.0,0,0,0.0,0.0
Citationgraph bot,0.0,0.0021364183520633665,0.0,0.0,0,0,0.0,0.0
PintochBot,0.0,0.19526404293052277,0.0,0.0,0,0,0.0,0.0
Edoderoobot,0.0,0.5974941880231928,0.0,0.0,0,0,0.0,0.0
Peter17-Bot,0.0,7.351116910325563e-05,0.0,0.0,0,0,0.0,0.0
MalarzBOT,0.0,0.0,6.535520554212144e-05,0.0,0,0,0.0,0.0
Revibot,0.00019910036133028537,0.0,0.0,0.0,0,0,0.0,0.0
