botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0.0,0.0008264590081465246,0.0,0.015,0,0,0.0,0.0
KrBot,0.006888909336032356,0.010169039100237672,0.0,0.0025,0,0,0.0,0.0
MatSuBot,0.0003360443578552369,0.04587104159501455,0.0,0.0,0,0,0.0,0.0
MidleadingBot,0.0,0.0,0.0,0.4675,0,0,0.0,0.0
Pigsonthewing-bot,0.008077066172734801,0.0,0.0,0.0,0,0,0.0,0.0
PreferentialBot,0.0,0.00013859871565190162,0.0,0.0,0,0,0.0,0.0
JarBot,0.0,0.003788364894485311,0.0,0.0,0,0,0.0,0.0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0.0
Pi bot,0.0,0.004039895896964688,0.0,0.0,0,0,0.0,0.0
EmausBot,1.2001584209115602e-05,0.0006416607206106556,0.0,0.0925,0,0,0.0,0.0
PLbot,0.001832241855924982,0.0006313941490808852,0.0,0.0,0,0,0.0,0.0
Reinheitsgebot,0.00017202270699732364,0.014075469567315342,0.0,0.035,0,0,0.0,0.0
CommonsDelinker,0.0,0.0002977305743633442,0.0,0.0,0,0,0.0,0.0
Dexbot,0.0,8.213257223816392e-05,0.0,0.0,0,0,0.0,0.0
JAnDbot,0.0029003828505362707,0.013326009845642098,0.0,0.0,0,0,0.0,0.0
EranBot,0.0,0.0,0.0020043905698196047,0.0,0,0,0.0,0.0
Github-wiki-bot,0.0,0.0012730548696915408,0.0,0.0,0,0,0.0,0.0
ProteinBoxBot,0.0,5.64661434137377e-05,0.0,0.0,0,0,0.0,0.0
QuickStatementsBot,0.06037196909992119,0.6160353580723485,0.9546148706690847,0.0,0,0,0.0,0.0
Krdbot,0.0,0.0,4.7723584995704876e-05,0.005,0,0,0.0,0.0
Florentyna,0.0,0.00033366357471754097,4.7723584995704876e-05,0.06,0,0,0.0,1.0
Peter17-Bot,0.0,0.00010779900106259015,0.0,0.0,0,0,0.0,0.0
UrbanecmBot,0.0,1.026657152977049e-05,0.0,0.0,0,0,0.0,0.0
Robbot,0.0,0.002073847449013639,0.0,0.0,0,0,0.0,0.0
MineoBot,0.0,2.053314305954098e-05,0.0,0.0,0,0,0.0,0.0
KasparBot,0.0,0.0006159942917862294,0.0,0.0,0,0,0.0,0.0
Mr.Ibrahembot,0.00015202006664879764,0.00020019814483052456,0.0032929273647036364,0.32,0,0,0.0,0.0
Atobot,0.0,0.0,0.0,0.0025,0,0,0.0,0.0
ValterVBot,0.0,5.133285764885245e-06,0.0,0.0,0,0,0.0,0.0
SuccuBot,0.0,0.00012833214412213113,0.0,0.0,0,0,0.0,0.0
ZkBot,0.0,5.133285764885245e-06,0.0,0.0,0,0,0.0,0.0
Citationgraph bot 2,0.0,0.5991725143347005,0.0,0.0,0,0,0.0,0.0
Mbchbot,0.0,5.133285764885245e-06,0.0,0.0,0,0,0.0,0.0
NikkiBot,0.0,0.3317077928411197,0.037415290636632625,0.0,0,0,0.0,0.0
BotMultichillT,0.0,1.026657152977049e-05,0.0,0.0,0,0,0.0,0.0
Citationgraph bot,0.0,0.001899315733007541,0.0,0.0,0,0,0.0,0.0
PintochBot,0.0,0.009239914376793442,0.0,0.0,0,0,0.0,0.0
Edoderoobot,0.0,0.5226198237229668,0.0,0.0,0,0,0.0,0.0
NoclaimsBot,0.0,9.753242953281966e-05,0.0,0.0,0,0,0.0,0.0
ShonagonBot,0.0,3.079971458931147e-05,0.0,0.0,0,0,0.0,0.0
