botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
MatSuBot,0.0,0.02917378550014506,0.0,0.0,3.0,0,0.0,0
KrBot,0.009379355804420519,0.1528964250024177,0.002451338022003677,0.011958997722095672,810.0,0,0.0,0
DeltaBot,0.0,0.009367847587118403,0.0,0.002562642369020501,20.0,0,0.0,0
Reinheitsgebot,0.00027465170730367553,0.15032397408207343,0.0,0.0028473804100227792,0.0,0,0.0,0
QuickStatementsBot,0.05265759858279719,0.22281680152154992,0.8189706325813951,0.6537585421412301,15952.0,0,0.0,0
PLbot,0.0014831192194398478,0.011592147255085264,0.0,0.0,1.0,0,0.0,0
Choboty,0.0,0.000986428548402695,0.0,0.2767653758542141,0.0,0,0.0,0
EmausBot,2.0598878047775664e-05,0.0011862931562489926,0.0,0.014806378132118452,0.0,0,0.0,0
CommonsDelinker,0.0,0.00023210083491828116,0.0,0.0,33.0,0,0.0,0
Pi bot,0.0,0.016517842751684345,0.0,0.0,23.0,0,0.0,0
GZWDer (flood),0.00021285507316034854,0.01664034041455788,0.0,0.0,0.0,0,0.0,0
EranBot,0.0,0.0,0.0003501911460005253,0.0,0.0,0,0.0,0
PreferentialBot,0.0,0.00031591502530543825,0.0,0.0,0.0,0,0.0,0
Mr.Ibrahembot,0.00012359326828665398,0.00026433706199026466,0.0007198373556677464,0.032175398633257406,0.0,0,0.0,0
JarBot,0.0,0.00028367879823345475,0.0,0.0,0.0,0,0.0,0
CyclingInitBot,0.0004737741950988403,0.005473711356822797,0.0,0.0,167.0,0,0.0,0
Dexbot,0.0,0.00010960317204474389,0.0,0.003132118451025057,0.0,0,0.0,0
Rezabot,2.0598878047775664e-05,0.00023210083491828116,0.0,0.0,0.0,0,0.0,0
Peter17-Bot,0.0,0.01115373456690629,0.0,0.0,0.0,0,0.0,0
ZkBot,0.0,7.091969955836369e-05,0.0,0.0002847380410022779,0.0,0,0.0,0
Github-wiki-bot,0.0,0.0012249766287353728,0.0,0.0,56.0,0,0.0,0
Florentyna,0.0,1.2894490828793398e-05,4.8637659166739626e-05,0.0017084282460136675,0.0,0,0.0,0
SuccuBot,0.0,0.0,0.0010116633106681842,0.0,0.0,0,0.0,0
Valerio Bozzolan bot,0.0,0.002275877631282035,0.0,0.0,0.0,0,0.0,0
KabouterBot,0.0,2.5788981657586796e-05,0.0,0.0,0.0,0,0.0,0
Mbchbot,0.0,1.9341736243190098e-05,0.0,0.0,0.0,0,0.0,0
KasparBot,0.0,0.00036104574320621515,0.0,0.0,0.0,0,0.0,0
SlingDateBot,0.0,6.447245414396699e-06,0.0,0.0,0.0,0,0.0,0
Escarbot,0.0,0.009877179974855743,0.0,0.0,0.0,0,0.0,0
Citationgraph bot 2,0.0,0.491434834466974,0.0,0.0,0.0,0,0.0,0
BotMultichillT,0.0,7.091969955836369e-05,0.0,0.0,1.0,0,0.0,0
Emijrpbot,0.0,0.00016762838077431417,0.0,0.0,0.0,0,0.0,0
MidleadingBot,0.0,7.736694497276039e-05,0.0,0.0,0.0,0,0.0,0
Robbot,0.0,0.0006124883143676864,0.0,0.0,0.0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0.0,0,1.0,0
NikkiBot,0.0,0.3439863318397215,0.17643797239326467,0.0,0.0,0,0.0,0
Edoderoobot,0.0,0.31551529608974566,0.0,0.0,0.0,0,0.0,0
Citationgraph bot,0.0,0.0004964378969085459,0.0,0.0,0.0,0,0.0,0
NoclaimsBot,0.0,7.091969955836369e-05,0.0,0.0,0.0,0,0.0,0
Frettiebot,0.0,0.08198317268946842,0.0,0.0,7630.0,0,0.0,0
JAnDbot,1.3732585365183776e-05,0.00034815125237742174,0.0,0.0,0.0,0,0.0,0
UrbanecmBot,0.0,2.5788981657586796e-05,0.0,0.0,0.0,0,0.0,0
ShonagonBot,0.0,1.9341736243190098e-05,0.0,0.0,0.0,0,0.0,0
Research Bot,6.866292682591888e-06,0.0,0.0,0.0,0.0,0,0.0,0
