botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
MatSuBot,0,3987,0,0,0,0,0,0
KrBot,0,87306,14,0,1904,0,0,0
DeltaBot,0,551,0,11,29,0,0,0
PLbot,402,2578,0,0,1,0,0,0
Reinheitsgebot,36,39519,0,13,0,0,0,0
EmausBot,4,176,0,28,0,0,0,0
EranBot,0,0,60,0,0,0,0,0
Cewbot,0,0,1073,0,0,0,0,0
Pi bot,0,871,0,0,0,0,0,0
CommonsDelinker,0,97,0,0,88,0,0,0
Edoderoobot,0,19633,0,0,0,0,0,0
Escarbot,0,0,0,783,0,0,0,0
PreferentialBot,0,34,0,0,0,0,0,0
Mr.Ibrahembot,6,189,13,19,0,0,0,0
Github-wiki-bot,0,338,0,0,99,0,0,0
SergoBot,0,0,9,8,0,0,0,0
MidleadingBot,0,0,0,7,0,0,0,0
QuickStatementsBot,4230,44300,14670,0,9392,0,0,0
MineoBot,0,4,0,0,0,0,0,0
Thebot,0,3,0,0,0,0,0,0
Symac bot,0,56,0,0,0,0,0,0
Florentyna,0,93,0,2,39,0,0,0
HannolansBot,3,3,0,0,0,0,0,0
NikkiBot,0,53766,12024,0,0,0,0,0
KasparBot,0,126,0,0,0,0,0,0
TptBot,0,129,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
ValterVBot,0,1,0,0,0,0,0,0
ZkBot,0,10,0,0,0,0,0,0
BinBot,0,0,0,1,0,0,0,0
ProteinBoxBot,0,1,0,0,0,0,0,0
Mbchbot,0,2,0,0,2,0,0,0
Pathwaybot,10,425,0,0,0,0,0,0
BotMultichillT,0,6,0,0,1,0,0,0
Rezabot,0,4,0,0,0,0,0,0
Peter17-Bot,0,59,0,0,0,0,0,0
JarBot,0,4,0,0,0,0,0,0
Citationgraph bot,0,986,0,0,0,0,0,0
NoclaimsBot,0,12,0,0,0,0,0,0
ShonagonBot,0,10,0,0,0,0,0,0
Dexbot,1,0,0,0,0,0,0,0
Robbot,0,41,0,0,0,0,0,0
