botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
Reinheitsgebot,0.0004115051154342798,0.08893750126594732,0.0,0.12413793103448276,0,0,0.0,0
ProteinBoxBot,4.729943855566434e-06,0.0045371551921201654,0.0,0.0,0,0,0.0,0
KrBot,0.0,0.11171587223046897,0.0001460067163089502,0.0,0,0,0.0,0
BotMultichillT,0.0,0.0005700379928875463,0.0,0.0,0,0,0.0,0
DeltaBot,0.0,0.00023148750980204924,0.0,0.034482758620689655,0,0,0.0,0
MatSuBot,0.0,0.04587503725502111,0.0,0.0,0,0,0.0,0
QuickStatementsBot,0.3722607712646451,0.44523728916551647,0.8258348455457523,0.0,0,0,0.0,0
EmausBot,0.0,0.0004948045522018803,0.0,0.13793103448275862,0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0
PLbot,0.0008182802870129931,0.00024016829141962608,0.0,0.0,0,0,0.0,0
Pi bot,0.0,0.013712741361898892,0.0,0.0,0,0,0.0,0
JarBot,0.0,0.0006944625294061477,0.0,0.0,0,0,0.0,0
EranBot,0.0,0.0,0.0011054794234820516,0.0,0,0,0.0,0
AGbot,0.0,0.003177166072033126,8.343240931940012e-05,0.0,0,0,0.0,0
CommonsDelinker,0.0,0.00019387078945921625,0.0,0.0,0,0,0.0,0
Rezabot,0.0,5.787187745051231e-06,0.0,0.0,0,0,0.0,0
Github-wiki-bot,0.0,0.00043403908087884236,0.0,0.0,0,0,0.0,0
CyclingInitBot,0.00047299438555664343,0.003567801244824084,0.0,0.0,0,0,0.0,0
MineoBot,0.0,1.1574375490102463e-05,0.0,0.0,0,0,0.0,0
KasparBot,0.0,0.0004919109583293546,0.0,0.0,0,0,0.0,0
Florentyna,0.0,0.00014757328749880638,8.343240931940012e-05,0.04827586206896552,0,0,0.0,0
Dexbot,0.0,5.787187745051231e-06,0.0,0.0,0,0,0.0,0
PreferentialBot,0.0,8.680781617576846e-06,0.0,0.0,0,0,0.0,0
Krdbot,0.0,0.0,4.171620465970006e-05,0.013793103448275862,0,0,0.0,0
William Avery Bot,0.0,0.0,0.0,0.2620689655172414,0,0,0.0,0
Thebot,0.0,1.7361563235153692e-05,0.0,0.0,0,0,0.0,0
A-lú-mih-bot,0.0,0.0,0.0,0.06206896551724138,0,0,0.0,0
Atobot,0.0,0.0,0.0,0.006896551724137931,0,0,0.0,0
NikkiBot,0.0,0.22295140787809867,0.1723504995515508,0.0,0,0,0.0,0
SuccuBot,0.0,0.00011285016102849901,0.0,0.0,0,0,0.0,0
Robbot,0.0,0.0010908848899421572,0.0,0.0,0,0,0.0,0
ZkBot,0.0,0.0,0.0,0.006896551724137931,0,0,0.0,0
Mr.Ibrahembot,0.00010405876482246156,0.0008565037862675822,0.0003545877396074505,0.30344827586206896,0,0,0.0,0
Mbchbot,0.0,2.8935938725256156e-06,0.0,0.0,0,0,0.0,0
ShonagonBot,0.0,5.208468970546108e-05,0.0,0.0,0,0,0.0,0
TptBot,0.0,5.787187745051231e-06,0.0,0.0,0,0,0.0,0
Citationgraph bot 2,0.0,0.3056329591916456,0.0,0.0,0,0,0.0,0
PintochBot,0.0,0.12098984059191356,0.0,0.0,0,0,0.0,0
Peter17-Bot,0.0,3.7616720342833004e-05,0.0,0.0,0,0,0.0,0
Citationgraph bot,0.0,0.001527817564693525,0.0,0.0,0,0,0.0,0
Edoderoobot,0.0,0.009051161633260125,0.0,0.0,0,0,0.0,0
NoclaimsBot,0.0,4.051031421535862e-05,0.0,0.0,0,0,0.0,0
Revibot,0.0,0.00024306188529215172,0.0,0.0,0,0,0.0,0
