botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
EmausBot,4,252,0,56,0,0,0,0
KrBot,2562,9633,0,0,9184,0,0,0
DeltaBot,0,1146,0,9,25,0,0,0
TptBot,0,9,0,0,2,0,0,0
MatSuBot,0,8643,0,0,0,0,0,0
Mr.Ibrahembot,41,15,270,793,0,0,0,0
ListeriaBot,0,0,0,0,0,0,8,0
PLbot,328,186,0,0,1,0,0,0
JarBot,0,1035,0,0,0,0,0,0
ZkBot,0,12,0,2,0,0,0,0
Reinheitsgebot,34,3025,0,9,0,0,0,0
Pi bot,0,797,0,0,0,0,0,0
EranBot,0,21,73,0,0,0,0,0
QuickStatementsBot,27039,65797,37910,0,48262,0,0,0
Dexbot,0,3,0,1,0,0,0,0
SuccuBot,0,0,0,303,0,0,0,0
PreferentialBot,0,22,0,0,0,0,0,0
Github-wiki-bot,0,107,0,0,28,0,0,0
Florentyna,0,117,9,5,2,0,0,2
Peter17-Bot,2,25,0,0,0,0,0,0
Robbot,0,477,0,0,0,0,0,0
CommonsDelinker,0,42,0,0,38,0,0,0
KasparBot,0,136,0,0,0,0,0,0
JAnDbot,167,20,0,0,0,0,0,0
ValterVBot,0,9,0,0,0,0,0,0
Citationgraph bot 2,0,120136,0,0,0,0,0,0
BotMultichillT,0,23,0,0,6,0,0,0
ProteinBoxBot,0,1,0,0,0,0,0,0
NikkiBot,0,79079,181,0,0,0,0,0
PintochBot,0,11546,0,0,0,0,0,0
Citationgraph bot,0,434,0,0,0,0,0,0
Edoderoobot,0,91203,0,0,0,0,0,0
NoclaimsBot,0,26,0,0,0,0,0,0
ShonagonBot,0,10,0,0,0,0,0,0
