botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0.0,0.008447268441829225,0.0,0.004431314623338257,0,0,0.0,0.0
Escarbot,0.0,0.015666592495529128,0.0,0.004431314623338257,0,0,0.0,0.0
MatSuBot,0.0,0.009481543748609291,0.0,0.0,0,0,0.0,0.0
CommonsDelinker,0.0,0.000337890737673169,0.0,0.0,0,0,0.0,0.0
EmausBot,1.3008976193573566e-05,0.00378684863319076,0.0,0.03249630723781388,0,0,0.0,0.0
Mr.Ibrahembot,0.0003382333810329127,0.0015823176008109379,0.0049466497690200725,0.29098966026587886,0,0,0.0,0.0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0.0
Reinheitsgebot,0.00044230519058150125,0.024171549599887918,0.0,0.023633677991137372,0,0,0.0,0.0
QuickStatementsBot,0.35623780408481853,0.4480802037233911,0.7650136952700217,0.0,0,0,0.0,0.0
Pi bot,0.0,0.0068814333160267345,0.0,0.0,0,0,0.0,0.0
KrBot,0.0,0.3103485219340536,0.0,0.0,0,0,0.0,0.0
PLbot,0.0025107324053596984,0.00037497630644217536,0.0,0.0,0,0,0.0,0.0
EranBot,0.0,0.0,0.005723396426965373,0.0,0,0,0.0,0.0
SuccuBot,3.90269285807207e-05,0.0009930691192589478,0.17002575528392133,0.5568685376661743,0,0,0.0,0.0
Github-wiki-bot,0.0,0.0011949794381124269,0.0,0.0,0,0,0.0,0.0
Edoderoobot,0.0,0.11822467261684015,0.0,0.0,0,0,0.0,0.0
ValterVBot,0.0,1.2361856256335452e-05,0.0011446792853930746,0.0,0,0,0.0,0.0
Florentyna,0.0009366462859372967,0.0013598041881968997,0.0020440701524876335,0.05760709010339734,0,0,0.0,1.0
Sanjeev bot,0.0,0.0,0.0,0.01624815361890694,0,0,0.0,0.0
Dexbot,0.0,2.4723712512670904e-05,0.0,0.0029542097488921715,0,0,0.0,0.0
PreferentialBot,0.0,1.6482475008447268e-05,0.0,0.0,0,0,0.0,0.0
KasparBot,0.0,0.00018954846259714358,0.0,0.0,0,0,0.0,0.0
Pathwaybot,0.0,4.120618752111817e-06,0.0,0.0,0,0,0.0,0.0
Krdbot,0.0,0.0,8.176280609950534e-05,0.004431314623338257,0,0,0.0,0.0
Revibot,0.0013529335241316508,0.0,0.0,0.0,0,0,0.0,0.0
NikkiBot,0.0,0.1905332904788983,0.05089734679694207,0.0,0,0,0.0,0.0
Atobot,0.0,0.0,0.0,0.0014771048744460858,0,0,0.0,0.0
TptBot,0.0,3.2964950016894537e-05,0.0,0.0,0,0,0.0,0.0
ZkBot,0.0,4.120618752111817e-06,0.0,0.0029542097488921715,0,0,0.0,0.0
JarBot,0.0,2.4723712512670904e-05,0.0,0.0,0,0,0.0,0.0
NoclaimsBot,0.0,0.00012773918131546633,0.0,0.0,0,0,0.0,0.0
EdgarsBot,0.0,0.00011125670630701906,0.0,0.0,0,0,0.0,0.0
Citationgraph bot 2,0.0,4.532680627322999e-05,0.0,0.0,0,0,0.0,0.0
BotMultichillT,0.0,2.4723712512670904e-05,0.0,0.0,0,0,0.0,0.0
Peter17-Bot,0.0,0.013029396494177566,0.0,0.0,0,0,0.0,0.0
Citationgraph bot,0.0,0.04700801872409161,0.0,0.0,0,0,0.0,0.0
Mbchbot,0.0,8.241237504223634e-06,0.0,0.0,0,0,0.0,0.0
