botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
JneubertAutomated,0,1946,0,0,2,0,0,0
DeltaBot,0,2645,0,13,29,0,0,0
Cewbot,0,0,1165,0,0,0,0,0
KrBot,0,42187,0,0,304,0,0,0
MatSuBot,0,2252,0,0,0,0,0,0
Pi bot,0,1765,0,0,0,0,0,0
AGbot,0,26484,0,0,13243,0,0,2
EmausBot,35,4801,0,30,0,0,0,0
Reinheitsgebot,65,1370,0,5,0,0,0,0
Escarbot,0,564,0,0,0,0,0,0
KabouterBot,0,80,0,0,0,0,0,0
QuickStatementsBot,6585,18740,33515,0,10238,0,0,0
CommonsDelinker,0,51,0,0,47,0,0,0
JarBot,0,2895,0,0,0,0,0,0
EranBot,0,0,36,0,0,0,0,0
Edoderoobot,0,32545,0,0,0,0,0,0
NikkiBot,0,48024,1205,0,72,0,0,0
SuccuBot,83,72,0,0,0,0,0,0
Mr.Ibrahembot,37,428,61,184,0,0,0,0
PreferentialBot,0,10,0,0,0,0,0,0
CyclingInitBot,77,707,0,0,0,0,0,0
Github-wiki-bot,0,120,0,0,25,0,0,0
PLbot,173,94,0,0,1,0,0,0
ProteinBoxBot,0,5,0,0,0,0,0,0
Krdbot,0,0,4,7,0,0,0,0
ZkBot,0,35,0,1,0,0,0,0
TptBot,0,19,0,0,2,0,0,0
ValterVBot,0,2,0,0,0,0,0,0
Florentyna,0,12,2,9,0,0,0,0
KasparBot,0,20,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
BotMultichillT,0,21,0,0,2,0,0,0
Dexbot,0,1,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
EdgarsBot,0,40,0,0,0,0,0,0
Peter17-Bot,4,8266,0,0,0,0,0,0
JAnDbot,0,1330,0,0,0,0,0,0
Citationgraph bot,0,22476,0,0,0,0,0,0
PintochBot,0,30194,0,0,0,0,0,0
NoclaimsBot,0,10,0,0,0,0,0,0
ShonagonBot,0,7,0,0,0,0,0,0
Pathwaybot,4,0,0,0,0,0,0,0
Robbot,0,85,0,0,0,0,0,0
