botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,2298,0,2,774,0,0,0
AGbot,0,22675,0,0,11337,0,0,0
EmausBot,5,124,0,98,0,0,0,0
KrBot,0,32527,8,3,12026,0,0,0
CommonsDelinker,0,43,0,0,30,0,0,0
PLbot,267,2079,0,0,1,0,0,0
MatSuBot,0,22161,0,0,28,0,0,0
KabouterBot,0,461,0,0,0,0,0,0
Reinheitsgebot,47,36292,0,6,0,0,0,0
PreferentialBot,0,21,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,6,0
JarBot,0,3222,0,0,0,0,0,0
Pi bot,0,1993,0,0,0,0,0,0
Mr.Ibrahembot,20,164,36,74,0,0,0,0
EranBot,0,0,37,0,0,0,0,0
Valerio Bozzolan bot,0,60,0,0,0,0,0,0
Github-wiki-bot,0,126,0,0,32,0,0,0
Edoderoobot,0,38139,0,0,0,0,0,0
KasparBot,0,62,0,0,0,0,0,0
Escarbot,0,7316,0,0,0,0,0,0
ValterVBot,0,5,0,0,0,0,0,0
Florentyna,0,183,47,3,4,0,0,0
Krdbot,0,0,1,2,0,0,0,0
LocatorBot,0,2,0,0,2,0,0,0
Peter17-Bot,0,7937,0,0,0,0,0,0
NikkiBot,0,81389,2170,0,0,0,0,0
QuickStatementsBot,7737,47008,27028,0,10061,0,0,0
Atobot,0,0,0,1,0,0,0,0
ProteinBoxBot,1,41333,0,0,0,0,0,0
ZkBot,0,7,0,1,0,0,0,0
BotMultichillT,0,68,0,0,5,0,0,0
Dexbot,0,1,0,0,0,0,0,0
MicrobeBot,0,20014,0,0,0,0,0,0
Rezabot,0,2,0,0,0,0,0,0
Mbchbot,0,3,0,0,1,0,0,0
Citationgraph bot 2,0,6226,0,0,0,0,0,0
SuccuBot,0,4,0,0,1,0,0,0
PintochBot,0,28292,0,0,0,0,0,0
Citationgraph bot,0,90345,0,0,0,0,0,0
CyclingInitBot,10,246,0,0,98,0,0,0
EdgarsBot,0,3,0,0,0,0,0,0
NoclaimsBot,0,22,0,0,0,0,0,0
Robbot,0,68,0,0,0,0,0,0
