botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
MatSuBot,15,4835,0,0,227,0,0,0
Choboty,0,274,0,108,0,0,0,0
DeltaBot,0,3220,0,8,36,0,0,0
EmausBot,3,158,0,36,0,0,0,0
Reinheitsgebot,55,336,0,14,0,0,0,0
Pi bot,0,3607,0,0,0,0,0,0
JAnDbot,9,840,0,0,0,0,0,0
PreferentialBot,0,5,0,0,0,0,0,0
KrBot,0,14291,14,2,759,0,0,0
KasparBot,0,194,0,0,0,0,0,0
EranBot,0,0,23,0,0,0,0,0
JarBot,0,4566,0,0,0,0,0,0
Mr.Ibrahembot,51,1208,17,39,0,0,0,0
PLbot,354,139,0,0,1,0,0,0
CommonsDelinker,0,106,0,0,100,0,0,0
PBot,0,9,0,0,0,0,0,0
Robbot,0,246,0,0,0,0,0,0
QuickStatementsBot,1029,19728,49338,0,6842,0,0,0
Krdbot,0,0,2,9,0,0,0,0
KabouterBot,0,986,0,0,0,0,0,0
SuccuBot,0,0,0,212,0,0,0,0
Peter17-Bot,0,3444,0,0,0,0,0,0
Florentyna,0,59,16,1,0,0,0,0
Dexbot,1,5,0,1,0,0,0,0
ValterVBot,0,2,0,0,0,0,0,0
SlingDateBot,0,4,0,0,0,0,0,0
Chobot,0,171,0,0,0,0,0,0
Escarbot,0,8119,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,6,0
Mbchbot,0,1,0,0,0,0,0,0
Citationgraph bot 2,0,117808,0,0,0,0,0,0
BotMultichillT,0,46,0,0,20,0,0,0
ProteinBoxBot,0,3,0,0,0,0,0,0
EdgarsBot,0,11,0,0,0,0,0,0
NikkiBot,0,68583,16589,0,0,0,0,0
Edoderoobot,0,49075,0,0,0,0,0,0
Citationgraph bot,0,2008,0,0,0,0,0,0
NoclaimsBot,0,13,0,0,0,0,0,0
