botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,2050,0,3,28,0,0,0
Escarbot,0,3802,0,3,0,0,0,0
MatSuBot,0,2301,0,0,0,0,0,0
CommonsDelinker,0,82,0,0,80,0,0,0
EmausBot,1,919,0,22,0,0,0,0
Mr.Ibrahembot,26,384,121,197,118,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
Reinheitsgebot,34,5866,0,16,0,0,0,0
QuickStatementsBot,27384,108741,18713,0,52038,0,0,0
Pi bot,0,1670,0,0,0,0,0,0
KrBot,0,75316,0,0,7,0,0,0
PLbot,193,91,0,0,1,0,0,0
EranBot,0,0,140,0,0,0,0,0
SuccuBot,3,241,4159,377,2,0,0,0
Github-wiki-bot,0,290,0,0,85,0,0,0
Edoderoobot,0,28691,0,0,0,0,0,0
ValterVBot,0,3,28,0,0,0,0,0
Florentyna,72,330,50,39,2,0,0,1
Sanjeev bot,0,0,0,11,0,0,0,0
Dexbot,0,6,0,2,0,0,0,0
PreferentialBot,0,4,0,0,0,0,0,0
KasparBot,0,46,0,0,0,0,0,0
Pathwaybot,0,1,0,0,0,0,0,0
Krdbot,0,0,2,3,0,0,0,0
Revibot,104,0,0,0,0,0,0,0
NikkiBot,0,46239,1245,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
TptBot,0,8,0,0,0,0,0,0
ZkBot,0,1,0,2,0,0,0,0
JarBot,0,6,0,0,0,0,0,0
NoclaimsBot,0,31,0,0,0,0,0,0
EdgarsBot,0,27,0,0,0,0,0,0
Citationgraph bot 2,0,11,0,0,0,0,0,0
BotMultichillT,0,6,0,0,4,0,0,0
Peter17-Bot,0,3162,0,0,0,0,0,0
Citationgraph bot,0,11408,0,0,0,0,0,0
Mbchbot,0,2,0,0,1,0,0,0
