botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
KrBot,0,2374,35,0,1284,0,0,0
DeltaBot,0,2609,0,9,18,0,0,0
GZWDer (flood),98,2626,0,0,660,0,0,0
BotMultichillT,0,2868,0,0,2,0,0,0
PLbot,246,3422,0,0,1,0,0,0
ProteinBoxBot,6,30940,0,0,0,0,0,0
QuickStatementsBot,3635,27552,37162,0,8353,0,0,0
EmausBot,4,400,0,11,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
JarBot,0,3815,0,0,0,0,0,0
Pi bot,0,2701,0,0,0,0,0,0
Reinheitsgebot,40,449,0,20,0,0,0,0
EranBot,0,0,37,0,0,0,0,0
PositionStatements Bot,0,1364,0,0,1364,0,0,0
Github-wiki-bot,0,99,0,0,23,0,0,0
SuccuBot,0,1025,0,0,0,0,0,0
Florentyna,0,62,9,3,4,0,0,0
CommonsDelinker,0,35,0,0,33,0,0,0
Mbchbot,0,1,0,0,0,0,0,0
KasparBot,0,160,0,0,0,0,0,0
SteinsplitterBot,0,0,0,3,0,0,0,0
Mr.Ibrahembot,30,284,43,71,0,0,0,0
MatSuBot,0,6,0,0,0,0,0,0
TptBot,0,7,0,0,0,0,0,0
TaxonBot,0,1,0,0,0,0,0,0
AliciaFagervingWMSE-bot,0,12,0,0,0,0,0,0
SlingDateBot,0,1,0,0,0,0,0,0
Chobot,0,104,0,0,0,0,0,0
ZkBot,0,1,0,1,0,0,0,0
UrbanecmBot,0,2,0,1,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
Escarbot,0,7399,0,0,0,0,0,0
William Avery Bot,0,0,0,1,0,0,0,0
NikkiBot,0,63568,16182,0,0,0,0,0
EdgarsBot,0,9,0,0,0,0,0,0
Emijrpbot,0,14,0,0,0,0,0,0
Peter17-Bot,0,6535,0,0,0,0,0,0
Edoderoobot,0,46738,0,0,0,0,0,0
Citationgraph bot,0,657,0,0,0,0,0,0
CyclingInitBot,0,92,0,0,46,0,0,0
MicrobeBot,0,36329,0,0,0,0,0,0
Krdbot,0,0,0,1,0,0,0,0
NoclaimsBot,0,9,0,0,0,0,0,0
ShonagonBot,0,22,0,0,0,0,0,0
Robbot,0,7,0,0,0,0,0,0
