botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
EmausBot,1,327,0,28,0,0,0,0
KrBot,11232,13736,7,0,1641,0,0,0
DeltaBot,0,111,0,6,16,0,0,0
CommonsDelinker,0,41,0,0,35,0,0,0
QuickStatementsBot,4151,9846,40483,0,7297,0,0,0
EranBot,0,0,677,0,0,0,0,0
Reinheitsgebot,53,403,0,4,0,0,0,0
Pi bot,0,1928,0,0,0,0,0,0
PLbot,264,127,0,0,1,0,0,0
ListeriaBot,0,0,0,0,0,0,3,0
Dexbot,0,49,0,0,0,0,0,0
Edoderoobot,0,57487,0,0,0,0,0,0
Revibot,15,1352,0,0,0,0,0,0
CyclingInitBot,40,373,0,0,32,0,0,0
Github-wiki-bot,0,561,0,0,176,0,0,0
PreferentialBot,0,2,0,0,0,0,0,0
PoulpyBot,0,34,0,0,0,0,0,0
TptBot,0,8,0,0,1,0,0,0
ProteinBoxBot,40,12010,0,0,0,0,0,0
Krdbot,0,0,6,8,0,0,0,0
KasparBot,0,68,0,0,0,0,0,0
KabouterBot,0,175,0,0,0,0,0,0
PBot,0,6,0,0,0,0,0,0
Mr.Ibrahembot,38,182,23,44,0,0,0,0
SuccuBot,0,386,0,0,11,0,0,0
MalarzBOT,0,1,0,0,0,0,0,0
JarBot,10,182,0,0,0,0,0,0
Escarbot,0,8094,0,0,0,0,0,0
ShonagonBot,0,111,0,0,0,0,0,0
Peter17-Bot,0,6515,0,0,0,0,0,0
BotMultichillT,272,63,0,0,43,0,0,0
Citationgraph bot,0,92870,0,0,0,0,0,0
Florentyna,0,29,2,2,0,0,0,0
MatSuBot,0,331,0,0,0,0,0,0
NikkiBot,0,68250,16801,0,0,0,0,0
ZkBot,0,0,0,1,0,0,0,0
NoclaimsBot,0,3,0,0,0,0,0,0
Rezabot,1,10,0,0,0,0,0,0
JAnDbot,222,0,0,0,0,0,0,0
Robbot,0,114,0,0,0,0,0,0
ValterVBot,0,2,0,0,0,0,0,0
