botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,1407,0,11,35,0,0,0
EmausBot,1,2262,0,437,0,0,0,0
MatSuBot,0,11252,0,0,0,0,0,0
PBot,0,82,0,0,0,0,0,0
PLbot,217,113,0,0,1,0,0,0
Reinheitsgebot,31,3054,0,6,0,0,0,0
KrBot,0,20012,56,1,9902,0,0,0
Github-wiki-bot,0,56,0,0,12,0,0,0
DanmicholoBot,0,359,0,0,0,0,0,0
Aosbot,0,94,0,0,49,0,0,0
Pi bot,0,598,0,0,0,0,0,0
KabouterBot,0,70,0,0,0,0,0,0
EranBot,0,0,53,0,0,0,0,0
CommonsDelinker,0,52,0,0,50,0,0,0
MidleadingBot,0,0,0,52,0,0,0,0
Mr.Ibrahembot,37,8,50,108,0,0,0,0
JAnDbot,0,830,0,0,0,0,0,0
Dexbot,0,3,0,1,0,0,0,0
Rezabot,0,2,0,0,0,0,0,0
KasparBot,0,212,0,0,0,0,0,0
MineoBot,0,4,0,0,0,0,0,0
QuickStatementsBot,8311,99562,13305,0,73975,0,0,0
Krdbot,0,0,1,3,0,0,0,0
PreferentialBot,0,2,0,0,0,0,0,0
Florentyna,0,1,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
BotMultichillT,69,78,0,0,8,0,0,0
NikkiBot,0,50672,1835,0,0,0,0,0
Robbot,0,461,0,0,0,0,0,0
ZkBot,0,5,0,0,0,0,0,0
Citationgraph bot 2,0,115855,0,0,0,0,0,0
Mbchbot,0,4,0,0,2,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
TptBot,0,8,0,0,0,0,0,0
Citationgraph bot,0,465,0,0,0,0,0,0
PintochBot,0,42500,0,0,0,0,0,0
Edoderoobot,0,130047,0,0,0,0,0,0
Peter17-Bot,0,16,0,0,0,0,0,0
MalarzBOT,0,0,1,0,0,0,0,0
Revibot,54,0,0,0,0,0,0,0
