botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,81,0,18,32,0,0,0
DanmicholoBot,0,2440,0,0,0,0,0,0
MatSuBot,235,809,0,0,87,0,0,0
Choboty,0,0,0,591,0,0,0,0
QuickStatementsBot,7737,35712,56631,17849,15906,0,0,0
PLbot,320,3886,0,0,1,0,0,0
Pi bot,0,6052,0,0,20,0,0,0
Reinheitsgebot,28,15764,0,21,0,0,0,0
EmausBot,10,366,0,38,0,0,0,0
EranBot,0,0,41,0,0,0,0,0
Mr.Ibrahembot,33,9,95,131,0,0,0,0
CommonsDelinker,0,30,0,0,30,0,0,0
Github-wiki-bot,0,95,0,0,25,0,0,0
Robbot,0,448,0,0,0,0,0,0
KrBot,5558,87344,474,28,1,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
Edoderoobot,0,52284,0,0,0,0,0,0
Peter17-Bot,0,21,0,0,0,0,0,0
SuccuBot,0,218,0,0,42,0,0,0
Valerio Bozzolan bot,0,98,0,0,0,0,0,0
KasparBot,0,108,0,0,0,0,0,0
KabouterBot,0,388,0,0,0,0,0,0
Florentyna,0,14,1,5,0,0,0,0
Mbchbot,0,2,0,0,1,0,0,0
BotMultichillT,0,28,0,0,3,0,0,0
Dexbot,1,3,0,0,0,0,0,0
ZkBot,0,7,0,0,0,0,0,0
William Avery Bot,0,0,0,4,0,0,0,0
NikkiBot,0,36170,0,0,0,0,0,0
Rezabot,0,4,0,0,0,0,0,0
Citationgraph bot 2,0,111200,0,0,0,0,0,0
ProteinBoxBot,0,1,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,6,0
Emijrpbot,0,36,0,0,0,0,0,0
UrbanecmBot,0,4,0,0,0,0,0,0
BotMultichill,0,2,0,0,0,0,0,0
EdgarsBot,0,3,0,0,0,0,0,0
NoclaimsBot,0,12,0,0,0,0,0,0
Frettiebot,0,36092,0,0,21655,0,0,0
ValterVBot,0,2,0,0,0,0,0,0
Krdbot,0,0,1,1,0,0,0,0
CyclingInitBot,0,132,0,0,88,0,0,0
MalarzBOT,0,0,3,0,0,0,0,0
