botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0.0,0.005505860579888958,0.0,0.045454545454545456,0,0,0.0,0
MatSuBot,0.0,0.0454541949413942,0.0,0.0,0,0,0.0,0
KabouterBot,0.0,0.0014420111042566317,0.0,0.0,0,0,0.0,0
EmausBot,3.238237103720734e-05,0.006955582973473165,0.0,0.12337662337662338,0,0,0.0,0
BotMultichillT,0.0,0.00047038864898210983,0.0,0.0,0,0,0.0,0
Pi bot,0.0,0.006091918568784701,0.0,0.0,0,0,0.0,0
Florentyna,4.857355655581102e-05,0.030756477483035165,0.0021770137377073793,0.06493506493506493,0,0,0.0,0
PreferentialBot,0.0,0.0001349475632325725,0.0,0.0,0,0,0.0,0
Mr.Ibrahembot,0.00042097082348369546,0.0005475015422578655,0.0008632985511598228,0.2597402597402597,0,0,0.0,0
Reinheitsgebot,0.0007933680904115799,0.018040561381863048,0.0,0.045454545454545456,0,0,0.0,0
Dexbot,0.0,1.5422578655151142e-05,0.0,0.0,0,0,0.0,0
ProteinBoxBot,0.0,0.0001310919185687847,0.0,0.0,0,0,0.0,0
KrBot,0.0,0.4306099629858112,0.0,0.0,0,0,0.0,0
QuickStatementsBot,0.09887956996211263,0.46173658235657,0.9764281960813753,0.0,0,0,0.0,0
Edoderoobot,0.0,0.11912399753238742,0.0,0.0,0,0,0.0,0
Pathwaybot,0.0044040024610601984,0.005976249228871067,0.0,0.0,0,0,0.0,0
CommonsDelinker,0.0,0.00028146206045650835,0.0,0.0,0,0,0.0,0
ShBot,0.0,0.0005822023442319556,0.015651978079723745,0.0,0,0,0.0,0
EranBot,0.0,0.0,0.0018016665415509347,0.0,0,0,0.0,0
PLbot,0.006379327094329847,0.006573874151758174,0.0,0.0,0,0,0.0,0
Github-wiki-bot,0.0,0.0006631708821714991,0.0,0.0,0,0,0.0,0
MineoBot,0.0,1.5422578655151142e-05,0.0,0.0,0,0,0.0,0
TptBot,0.0,9.253547193090685e-05,0.0,0.0,0,0,0.0,0
KasparBot,0.0,0.0003470080197409007,0.0,0.0,0,0,0.0,0
Mbchbot,0.0,1.1566933991363356e-05,0.0,0.0,0,0,0.0,0
Krdbot,0.0,0.0,3.753471961564447e-05,0.006493506493506494,0,0,0.0,0
Atobot,0.0,0.0,0.0,0.006493506493506494,0,0,0.0,0
Escarbot,0.0,0.00028146206045650835,0.0,0.44805194805194803,0,0,0.0,0
NikkiBot,0.0,0.012102868599629859,0.002965242849635913,0.0,0,0,0.0,0
Chobot,0.0,0.0017890191239975325,0.0,0.0,0,0,0.0,0
Choboty,0.0,0.0010101789019123998,0.0,0.0,0,0,0.0,0
SuccuBot,0.0,0.00027375077112893275,0.0,0.0,0,0,0.0,0
Rezabot,0.0,1.5422578655151142e-05,0.0,0.0,0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0
Peter17-Bot,0.0,0.03187461443553362,0.0,0.0,0,0,0.0,0
Citationgraph bot,0.0,0.02179595928439235,0.0,0.0,0,0,0.0,0
RfcBot,0.00011333829863022571,0.0009561998766193708,0.0,0.0,0,0,0.0,0
NoclaimsBot,0.0,2.3133867982726713e-05,0.0,0.0,0,0,0.0,0
