botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
PreferentialBot,0,17,0,0,0,0,0,0
MatSuBot,67,8193,0,0,23,0,0,0
DeltaBot,0,240,0,6,30,0,0,0
Reinheitsgebot,55,4705,0,13,0,0,0,0
PLbot,197,97,0,0,1,0,0,0
KrBot,0,109101,0,0,0,0,0,0
EmausBot,2,134,0,22,0,0,0,0
QuickStatementsBot,120594,199294,23829,0,133618,0,0,0
Pi bot,0,815,0,0,0,0,0,0
Robbot,0,686,0,0,0,0,0,0
CommonsDelinker,0,26,0,0,22,0,0,0
EranBot,0,0,56,0,0,0,0,0
Github-wiki-bot,0,44,0,0,8,0,0,0
SuccuBot,0,282,0,0,1,0,0,0
Krdbot,0,0,1,1,0,0,0,0
KasparBot,0,146,0,0,0,0,0,0
Florentyna,6,51,14,12,2,0,0,0
ValterVBot,0,7,0,0,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
Mr.Ibrahembot,58,260,91,172,0,0,0,0
NoclaimsBot,0,14,0,0,0,0,0,0
Mbchbot,0,2,0,0,1,0,0,0
ZkBot,0,1,0,0,0,0,0,0
Citationgraph bot 2,0,106180,0,0,0,0,0,0
ProteinBoxBot,0,1,0,0,0,0,0,0
BotMultichillT,0,11,0,0,6,0,0,0
ListeriaBot,0,0,0,0,0,0,4,0
PintochBot,0,41837,0,0,0,0,0,0
CyclingInitBot,56,687,0,0,0,0,0,0
Peter17-Bot,0,3408,0,0,0,0,0,0
Citationgraph bot,0,576,0,0,0,0,0,0
NikkiBot,0,67879,16967,0,0,0,0,0
Edoderoobot,0,37096,0,0,0,0,0,0
Rezabot,0,8,0,0,0,0,0,0
