botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
Cewbot,0.0,2.4326461108070303e-05,0.01782211857731927,0.0,0.0,0,0.0,0
PLbot,0.003965920229209078,0.04036976220884267,0.0,0.0,1.0,0,0.0,0
DeltaBot,0.0,0.014291795900991304,0.0,0.04081632653061224,17.0,0,0.0,0
Reinheitsgebot,0.001432556736786549,0.04991789819376026,0.0,0.10204081632653061,0.0,0,0.0,0
KrBot,0.0,0.39981755154168946,0.0778829670584238,0.0,1241.0,0,0.0,0
Pi bot,0.0,0.032974518031989294,0.0,0.0,0.0,0,0.0,0
QuickStatementsBot,0.06244439417929579,0.19160737091771574,0.8326357894086578,0.0,7371.0,0,0.0,0
MatSuBot,0.0,0.0031624399440491396,0.0,0.0,0.0,0,0.0,0
EmausBot,1.5079544597753147e-05,0.003259745788481421,0.0,0.12244897959183673,0.0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0.0,0,1.0,0
Github-wiki-bot,0.0,0.0012528127470656206,0.0,0.0,22.0,0,0.0,0
ShBot,0.0,0.04266861278355531,0.0,0.0,1754.0,0,0.0,0
CommonsDelinker,0.0,0.00040138660828316,0.0,0.0,31.0,0,0.0,0
Choboty,0.0,0.0,0.0,0.3707482993197279,0.0,0,0.0,0
MalarzBOT,0.0,1.2163230554035151e-05,1.5443776930086022e-05,0.0,1.0,0,0.0,0
GZWDer (flood),0.0,0.00238399318859089,0.0,0.0,0.0,0,0.0,0
EranBot,0.0,0.0,0.00037065064632206454,0.0,0.0,0,0.0,0
SuccuBot,0.0011762044786247454,0.009012953840540048,0.010424549427808065,0.0,0.0,0,0.0,0
ValterVBot,0.00018095453517303776,1.2163230554035151e-05,0.0001544377693008602,0.0,1.0,0,0.0,0
PositionStatements Bot,0.0,0.0035516633217782642,0.0,0.0,292.0,0,0.0,0
KasparBot,0.0,0.001191996594295445,0.0,0.0,0.0,0,0.0,0
Robbot,0.0,0.005303168521559327,0.0,0.0,0.0,0,0.0,0
Dexbot,0.0,2.4326461108070303e-05,0.0,0.01020408163265306,0.0,0,0.0,0
PreferentialBot,0.0,3.6489691662105454e-05,0.0,0.0,0.0,0,0.0,0
Mr.Ibrahembot,0.00013571590137977834,0.006385696040868455,0.0008494077311547312,0.22108843537414966,0.0,0,0.0,0
KabouterBot,0.0,0.00017028522775649213,0.0,0.0,0.0,0,0.0,0
ZkBot,0.0,6.081615277017576e-05,0.0,0.0,0.0,0,0.0,0
BotMultichillT,0.0,0.0009365687526607067,0.0,0.0,61.0,0,0.0,0
SlingDateBot,0.0,0.00017028522775649213,0.0,0.0,0.0,0,0.0,0
AliciaFagervingWMSE-bot,0.0,0.00024326461108070303,0.0,0.0,0.0,0,0.0,0
Krdbot,0.0,0.0,0.0,0.01020408163265306,0.0,0,0.0,0
Chobot,0.0,0.0010825275193091285,0.0,0.0,0.0,0,0.0,0
MidleadingBot,0.0,0.0,0.0,0.09523809523809523,0.0,0,0.0,0
Florentyna,0.0,0.00015812199720245697,0.00018532532316103227,0.023809523809523808,0.0,0,0.0,0
Escarbot,0.0,0.08706440430578362,0.0,0.0,0.0,0,0.0,0
Peter17-Bot,0.0,0.09975065377364228,0.0,0.0,0.0,0,0.0,0
ProteinBoxBot,0.0,3.6489691662105454e-05,0.0,0.0,0.0,0,0.0,0
William Avery Bot,0.0,0.0,0.0,0.003401360544217687,0.0,0,0.0,0
NikkiBot,0.0,0.1581706501246731,0.05110345786165465,0.0,0.0,0,0.0,0
Emijrpbot,0.0,0.00036489691662105453,0.0,0.0,0.0,0,0.0,0
Pathwaybot,0.0,1.2163230554035151e-05,0.0,0.0,0.0,0,0.0,0
Edoderoobot,0.0,0.5796995682053153,0.0,0.0,0.0,0,0.0,0
Citationgraph bot,0.0,0.013391716839992702,0.0,0.0,0.0,0,0.0,0
CyclingInitBot,0.0,0.001435261205376148,0.0,0.0,59.0,0,0.0,0
Dr Plane,0.0,0.00013379553609438666,1.5443776930086022e-05,0.0,1.0,0,0.0,0
Mbchbot,0.0,1.2163230554035151e-05,0.0,0.0,0.0,0,0.0,0
NoclaimsBot,0.0,1.2163230554035151e-05,0.0,0.0,0.0,0,0.0,0
ShonagonBot,0.0,9.730584443228121e-05,0.0,0.0,0.0,0,0.0,0
