botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
MatSuBot,0,5346,0,0,0,0,0,0
DeltaBot,0,4849,0,7,38,0,0,0
Reinheitsgebot,75,588,0,29,0,0,0,0
CommonsDelinker,0,37,0,0,29,0,0,0
Pi bot,0,1676,0,0,0,0,0,0
JarBot,0,4191,0,0,0,0,0,0
Florentyna,0,510,157,4,4,0,0,0
KrBot,0,76043,37,0,1034,0,0,0
PLbot,223,168,0,0,1,0,0,0
QuickStatementsBot,4344,16446,52745,0,8701,0,0,0
ValterVBot,0,16,0,0,0,0,0,0
MidleadingBot,0,0,0,342,0,0,0,0
EranBot,0,0,21,0,0,0,0,0
KasparBot,0,84,0,0,0,0,0,0
EmausBot,0,91,0,24,0,0,0,0
KabouterBot,0,222,0,0,0,0,0,0
Robbot,0,48,0,0,0,0,0,0
Github-wiki-bot,0,343,0,0,94,0,0,0
Peter17-Bot,0,8659,0,0,0,0,0,0
Krdbot,0,0,3,3,0,0,0,0
NikkiBot,0,37351,9342,0,0,0,0,0
Mr.Ibrahembot,17,61,91,127,0,0,0,0
PreferentialBot,0,4,0,0,0,0,0,0
MalarzBOT,0,0,8,0,0,0,0,0
ZkBot,0,4,0,0,0,0,0,0
SteinsplitterBot,0,0,0,1,0,0,0,0
TaxonBot,0,6,0,0,1,0,0,0
Dexbot,0,0,0,2,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
TptBot,0,5,0,0,0,0,0,0
Revibot,0,8,0,0,0,0,0,0
Escarbot,0,8113,0,0,0,0,0,0
Emijrpbot,0,10,0,0,0,0,0,0
ProteinBoxBot,2,224,0,0,0,0,0,0
Citationgraph bot 2,0,81461,0,0,0,0,0,0
BotMultichillT,0,10,0,0,0,0,0,0
Edoderoobot,0,49362,0,0,0,0,0,0
Citationgraph bot,0,3737,0,0,0,0,0,0
EdgarsBot,0,1,0,0,0,0,0,0
CyclingInitBot,0,186,0,0,124,0,0,0
NoclaimsBot,0,6,0,0,0,0,0,0
