botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,1428,0,7,36,0,0,0
MatSuBot,0,11789,0,0,0,0,0,0
KabouterBot,0,374,0,0,0,0,0,0
EmausBot,2,1804,0,19,0,0,0,0
BotMultichillT,0,122,0,0,0,0,0,0
Pi bot,0,1580,0,0,0,0,0,0
Florentyna,3,7977,58,10,5,0,0,0
PreferentialBot,0,35,0,0,0,0,0,0
Mr.Ibrahembot,26,142,23,40,0,0,0,0
Reinheitsgebot,49,4679,0,7,0,0,0,0
Dexbot,0,4,0,0,0,0,0,0
ProteinBoxBot,0,34,0,0,0,0,0,0
KrBot,0,111683,0,0,0,0,0,0
QuickStatementsBot,6107,119756,26014,0,70497,0,0,0
Edoderoobot,0,30896,0,0,0,0,0,0
Pathwaybot,272,1550,0,0,0,0,0,0
CommonsDelinker,0,73,0,0,50,0,0,0
ShBot,0,151,417,0,0,0,0,0
EranBot,0,0,48,0,0,0,0,0
PLbot,394,1705,0,0,1,0,0,0
Github-wiki-bot,0,172,0,0,44,0,0,0
MineoBot,0,4,0,0,0,0,0,0
TptBot,0,24,0,0,0,0,0,0
KasparBot,0,90,0,0,0,0,0,0
Mbchbot,0,3,0,0,0,0,0,0
Krdbot,0,0,1,1,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
Escarbot,0,73,0,69,0,0,0,0
NikkiBot,0,3139,79,0,0,0,0,0
Chobot,0,464,0,0,0,0,0,0
Choboty,0,262,0,0,0,0,0,0
SuccuBot,0,71,0,0,3,0,0,0
Rezabot,0,4,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,3,0
Peter17-Bot,0,8267,0,0,0,0,0,0
Citationgraph bot,0,5653,0,0,0,0,0,0
RfcBot,7,248,0,0,0,0,0,0
NoclaimsBot,0,6,0,0,0,0,0,0
