botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
Reinheitsgebot,87,30736,0,18,0,0,0,0
ProteinBoxBot,1,1568,0,0,0,0,0,0
KrBot,0,38608,7,0,5577,0,0,0
BotMultichillT,0,197,0,0,3,0,0,0
DeltaBot,0,80,0,5,43,0,0,0
MatSuBot,0,15854,0,0,0,0,0,0
QuickStatementsBot,78703,153870,39593,0,107070,0,0,0
EmausBot,0,171,0,20,0,0,0,0
ListeriaBot,0,0,0,0,0,0,4,0
PLbot,173,83,0,0,1,0,0,0
Pi bot,0,4739,0,0,0,0,0,0
JarBot,0,240,0,0,0,0,0,0
EranBot,0,0,53,0,0,0,0,0
AGbot,0,1098,4,0,574,0,0,0
CommonsDelinker,0,67,0,0,53,0,0,0
Rezabot,0,2,0,0,0,0,0,0
Github-wiki-bot,0,150,0,0,33,0,0,0
CyclingInitBot,100,1233,0,0,254,0,0,0
MineoBot,0,4,0,0,0,0,0,0
KasparBot,0,170,0,0,0,0,0,0
Florentyna,0,51,4,7,0,0,0,0
Dexbot,0,2,0,0,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
Krdbot,0,0,2,2,0,0,0,0
William Avery Bot,0,0,0,38,0,0,0,0
Thebot,0,6,0,0,0,0,0,0
A-lú-mih-bot,0,0,0,9,0,0,0,0
Atobot,0,0,0,1,0,0,0,0
NikkiBot,0,77050,8263,0,0,0,0,0
SuccuBot,0,39,0,0,4,0,0,0
Robbot,0,377,0,0,0,0,0,0
ZkBot,0,0,0,1,0,0,0,0
Mr.Ibrahembot,22,296,17,44,0,0,0,0
Mbchbot,0,1,0,0,0,0,0,0
ShonagonBot,0,18,0,0,0,0,0,0
TptBot,0,2,0,0,0,0,0,0
Citationgraph bot 2,0,105624,0,0,0,0,0,0
PintochBot,0,41813,0,0,0,0,0,0
Peter17-Bot,0,13,0,0,0,0,0,0
Citationgraph bot,0,528,0,0,0,0,0,0
Edoderoobot,0,3128,0,0,0,0,0,0
NoclaimsBot,0,14,0,0,0,0,0,0
Revibot,0,84,0,0,0,0,0,0
