botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0,2766,0,9,14,0,0,0
KrBot,0,40636,0,0,242,0,0,0
QuickStatementsBot,4681,30210,50895,0,11807,0,0,0
PLbot,228,144,0,0,1,0,0,0
MatSuBot,0,481,0,0,55,0,0,0
Github-wiki-bot,0,500,0,0,127,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
EmausBot,7,859,0,25,0,0,0,0
ShBot,0,0,145,0,0,0,0,0
JarBot,0,319,0,0,0,0,0,0
CommonsDelinker,0,35,0,0,30,0,0,0
Pi bot,0,1511,0,0,0,0,0,0
Choboty,0,120,0,0,0,0,0,0
Reinheitsgebot,71,398,0,6,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
EranBot,0,0,57,0,0,0,0,0
ProteinBoxBot,0,106,0,0,0,0,0,0
Mr.Ibrahembot,19,53,51,72,0,0,0,0
KasparBot,0,98,0,0,0,0,0,0
Revibot,22,249,0,0,0,0,0,0
TptBot,0,2,0,0,0,0,0,0
Krdbot,0,0,0,1,0,0,0,0
KabouterBot,0,3,0,0,0,0,0,0
Florentyna,6,24,8,2,0,0,0,0
Robbot,0,76,0,0,0,0,0,0
SlingDateBot,0,4,0,0,0,0,0,0
Dexbot,0,1,0,0,0,0,0,0
ZkBot,0,151,0,6,0,0,0,0
Escarbot,0,8134,0,0,0,0,0,0
Catabot,13,33,0,0,0,0,0,0
Edoderoobot,0,11770,0,0,0,0,0,0
William Avery Bot,0,0,0,4,0,0,0,0
SuccuBot,0,3,0,0,1,0,0,0
Citationgraph bot 2,0,110014,0,0,0,0,0,0
Peter17-Bot,0,8576,0,0,0,0,0,0
LocatorBot,0,3,0,0,3,0,0,0
MicrobeBot,0,69,0,0,0,0,0,0
Mbchbot,0,1,0,0,1,0,0,0
BotMultichillT,0,28,0,0,14,0,0,0
NikkiBot,0,68398,16665,0,0,0,0,0
Citationgraph bot,0,1803,0,0,0,0,0,0
Thebot,0,3,0,0,0,0,0,0
ValterVBot,0,2,0,0,0,0,0,0
MidleadingBot,1600,0,0,0,0,0,0,0
