botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
KrBot,1.7971604864314385e-05,0.32386805052418405,0.00048306678398288565,0.01,0,0,0.0,0.0
Reinheitsgebot,0.00034745102737674473,0.1686772754650442,0.0,0.0,0,0,0.0,0.0
PreferentialBot,0.0,2.6187379428940546e-05,0.0,0.0,0,0,0.0,0.0
DeltaBot,0.0,0.0022913957000322976,0.0,0.07,0,0,0.0,0.0
EmausBot,2.9952674773857304e-05,0.002256479194127044,0.0,0.4,0,0,0.0,0.0
QuickStatementsBot,0.01743245671838495,0.1618554631238052,0.5813708745234029,0.0,0,0,0.0,0.0
Cewbot,0.0,0.0,0.02505046322654107,0.0,0,0,0.0,0.0
Pi bot,0.0,0.018003823357396625,0.0,0.0,0,0,0.0,0.0
Edoderoobot,0.0,0.28518056198116254,0.0,0.0,0,0,0.0,0.0
Mr.Ibrahembot,9.584855927634337e-05,0.0012133485802075785,0.0005348239394096234,0.41,0,0,0.0,0.0
PLbot,0.0012939555502306356,0.000593580600389319,0.0,0.0,0,0,0.0,0.0
EranBot,0.0,0.0,0.0007763573314010662,0.0,0,0,0.0,0.0
CommonsDelinker,0.0,0.00017894709276442707,0.0,0.0,0,0,0.0,0.0
SuccuBot,2.9952674773857304e-05,0.0010387660506813083,0.11690216172385832,0.0,0,0,0.0,0.0
Github-wiki-bot,0.0,0.0024005097809862166,0.0,0.0,0,0,0.0,0.0
Florentyna,0.0,0.0001876762192407406,8.626192571122957e-05,0.01,0,0,0.0,1.0
ValterVBot,0.0,2.6187379428940546e-05,0.0,0.0,0,0,0.0,0.0
KasparBot,0.0,0.00027933204724203247,0.0,0.0,0,0,0.0,0.0
Revibot,0.0,0.0011609738213496975,0.0,0.0,0,0,0.0,0.0
Dexbot,0.0,3.05519426670973e-05,0.0,0.07,0,0,0.0,0.0
NikkiBot,0.0,0.30036051292347177,0.2734157997343133,0.0,0,0,0.0,0.0
KabouterBot,0.0,0.0006284971062945731,0.0,0.0,0,0,0.0,0.0
Robbot,0.0,0.00020949903543152437,0.0,0.0,0,0,0.0,0.0
Krdbot,0.0,0.0,1.7252385142245916e-05,0.01,0,0,0.0,0.0
TaxonBot,0.0,3.928106914341082e-05,0.0,0.0,0,0,0.0,0.0
PoulpyBot,0.0,0.0002487801045749352,0.0,0.0,0,0,0.0,0.0
BotMultichillT,0.0,0.00016585340304995679,0.0,0.0,0,0,0.0,0.0
EdgarsBot,0.0,7.856213828682163e-05,0.0,0.0,0,0,0.0,0.0
TptBot,0.0,2.6187379428940546e-05,0.0,0.0,0,0,0.0,0.0
Escarbot,0.0,0.03517401513630531,0.0,0.0,0,0,0.0,0.0
ZkBot,0.0,0.0,0.0,0.02,0,0,0.0,0.0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0.0
ProteinBoxBot,2.3962139819085843e-05,0.003915013224626612,0.0,0.0,0,0,0.0,0.0
MatSuBot,0.0,7.419757504866488e-05,0.0,0.0,0,0,0.0,0.0
Peter17-Bot,0.0,0.0348117563875383,0.0,0.0,0,0,0.0,0.0
MalarzBOT,0.0,0.0,5.175715542673774e-05,0.0,0,0,0.0,0.0
Citationgraph bot,0.0,0.36941226791434983,0.0,0.0,0,0,0.0,0.0
NoclaimsBot,0.0,0.00010911408095391894,0.0,0.0,0,0,0.0,0.0
