botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
MatSuBot,0,15917,0,0,0,0,0,0
DeltaBot,0,318,0,3,18,0,0,0
EmausBot,9,1271,0,18,0,0,0,0
KrBot,0,89902,0,0,1253,0,0,0
Pi bot,0,1644,0,0,0,0,0,0
CommonsDelinker,0,101,0,0,82,0,0,0
KabouterBot,0,79,0,0,0,0,0,0
TptBot,0,14,0,0,0,0,0,0
PositionStatements Bot,0,1320,0,0,1320,0,0,0
Reinheitsgebot,55,152,0,6,0,0,0,0
Mr.Ibrahembot,33,218,56,80,0,0,0,0
QuickStatementsBot,637,19219,50192,0,6587,0,0,0
PreferentialBot,0,4,0,0,0,0,0,0
JAnDbot,0,3105,0,0,0,0,0,0
Choboty,0,1070,0,2,0,0,0,0
BotMultichillT,0,269,0,0,5,0,0,0
JarBot,0,1529,0,0,0,0,0,0
EranBot,0,0,41,0,0,0,0,0
Robbot,0,286,0,0,0,0,0,0
PLbot,180,97,0,0,1,0,0,0
Florentyna,0,38,26,3,0,0,0,1
ZkBot,0,1,0,0,0,0,0,0
KasparBot,0,116,0,0,0,0,0,0
SlingDateBot,0,4,0,0,0,0,0,0
Github-wiki-bot,0,5,0,0,1,0,0,0
Chobot,0,135,0,0,0,0,0,0
Dexbot,0,0,0,6,0,0,0,0
Escarbot,0,8141,0,0,0,0,0,0
ValterVBot,0,6,0,0,0,0,0,0
MalarzBOT,0,0,1,0,0,0,0,0
MidleadingBot,0,458,0,0,0,0,0,0
Citationgraph bot 2,0,113441,0,0,0,0,0,0
ProteinBoxBot,0,1,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
Peter17-Bot,0,7099,0,0,0,0,0,0
Mbchbot,0,2,0,0,0,0,0,0
NikkiBot,0,68243,16659,0,0,0,0,0
Edoderoobot,0,43118,0,0,0,0,0,0
Citationgraph bot,0,1879,0,0,0,0,0,0
EdgarsBot,0,20,0,0,0,0,0,0
NoclaimsBot,0,12,0,0,0,0,0,0
SuccuBot,0,28,2,0,4,0,0,0
UrbanecmBot,0,2,0,0,0,0,0,0
