botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
Cewbot,0,2,1154,0,0,0,0,0
PLbot,263,3319,0,0,1,0,0,0
DeltaBot,0,1175,0,12,17,0,0,0
Reinheitsgebot,95,4104,0,30,0,0,0,0
KrBot,0,32871,5043,0,1241,0,0,0
Pi bot,0,2711,0,0,0,0,0,0
QuickStatementsBot,4141,15753,53914,0,7371,0,0,0
MatSuBot,0,260,0,0,0,0,0,0
EmausBot,1,268,0,36,0,0,0,0
ListeriaBot,0,0,0,0,0,0,4,0
Github-wiki-bot,0,103,0,0,22,0,0,0
ShBot,0,3508,0,0,1754,0,0,0
CommonsDelinker,0,33,0,0,31,0,0,0
Choboty,0,0,0,109,0,0,0,0
MalarzBOT,0,1,1,0,1,0,0,0
GZWDer (flood),0,196,0,0,0,0,0,0
EranBot,0,0,24,0,0,0,0,0
SuccuBot,78,741,675,0,0,0,0,0
ValterVBot,12,1,10,0,1,0,0,0
PositionStatements Bot,0,292,0,0,292,0,0,0
KasparBot,0,98,0,0,0,0,0,0
Robbot,0,436,0,0,0,0,0,0
Dexbot,0,2,0,3,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
Mr.Ibrahembot,9,525,55,65,0,0,0,0
KabouterBot,0,14,0,0,0,0,0,0
ZkBot,0,5,0,0,0,0,0,0
BotMultichillT,0,77,0,0,61,0,0,0
SlingDateBot,0,14,0,0,0,0,0,0
AliciaFagervingWMSE-bot,0,20,0,0,0,0,0,0
Krdbot,0,0,0,3,0,0,0,0
Chobot,0,89,0,0,0,0,0,0
MidleadingBot,0,0,0,28,0,0,0,0
Florentyna,0,13,12,7,0,0,0,0
Escarbot,0,7158,0,0,0,0,0,0
Peter17-Bot,0,8201,0,0,0,0,0,0
ProteinBoxBot,0,3,0,0,0,0,0,0
William Avery Bot,0,0,0,1,0,0,0,0
NikkiBot,0,13004,3309,0,0,0,0,0
Emijrpbot,0,30,0,0,0,0,0,0
Pathwaybot,0,1,0,0,0,0,0,0
Edoderoobot,0,47660,0,0,0,0,0,0
Citationgraph bot,0,1101,0,0,0,0,0,0
CyclingInitBot,0,118,0,0,59,0,0,0
Dr Plane,0,11,1,0,1,0,0,0
Mbchbot,0,1,0,0,0,0,0,0
NoclaimsBot,0,1,0,0,0,0,0,0
ShonagonBot,0,8,0,0,0,0,0,0
