botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
DeltaBot,0.0,0.004809483682723119,0.0,0.0,0,0,0.0,0
Reinheitsgebot,0.0015501767745444656,0.28457353809466485,0.0,0.09558823529411764,0,0,0.0,0
Cewbot,0.0,0.0038177784656657898,0.018991142471100435,0.0,0,0,0.0,0
EmausBot,5.439216752787599e-05,0.006712640515457417,0.0,0.09926470588235294,0,0,0.0,0
KabouterBot,0.0,0.0025738476442701795,0.0,0.0,0,0,0.0,0
KrBot,0.0,0.19207553010369913,0.39528599309413,0.0,0,0,0.0,0
Mr.Ibrahembot,0.0007886864291542018,0.00048152160828217165,0.005254466296351899,0.7720588235294118,0,0,0.0,0
ASammourBot,0.0,0.0,0.0035655307010959317,0.0,0,0,0.0,0
BotMultichillT,0.0,0.002522256043382804,0.0,0.0,0,0,0.0,0
PLbot,0.006935001359804188,0.0007566768130148412,0.0,0.0,0,0,0.0,0
PreferentialBot,0.0,4.0126800690180975e-05,0.0,0.0,0,0,0.0,0
Edoderoobot,0.0,0.16706506847351918,0.0,0.0,0,0,0.0,0
Pi bot,0.0,0.006448950110921942,0.0,0.0,0,0,0.0,0
EranBot,0.0,0.0,0.002402041735475154,0.0,0,0,0.0,0
Florentyna,8.158825129181398e-05,0.0018229032313539356,0.010809187809638193,0.003676470588235294,0,0,0.0,0
QuickStatementsBot,0.08822409573021485,0.41699771277236064,0.5590752139318421,0.0,0,0,0.0,0
Github-wiki-bot,0.0,0.0017254524296777818,0.0,0.0,0,0,0.0,0
Symac bot,0.0,0.0006362964109442983,0.0,0.0,0,0,0.0,0
ProteinBoxBot,0.0,0.0005273808090709499,0.0,0.0,0,0,0.0,0
Chobot,0.0,5.7324000985972814e-05,0.0,0.0,0,0,0.0,0
PoulpyBot,0.0,0.0,0.002814892658759946,0.0,0,0,0.0,0
CommonsDelinker,0.0,0.0003152820054228505,0.0,0.0,0,0,0.0,0
JarBot,0.0,0.0003152820054228505,0.0,0.0,0,0,0.0,0
KasparBot,0.0,0.0009630432165643433,0.0,0.0,0,0,0.0,0
TptBot,0.0,5.159160088737554e-05,0.0,0.0,0,0,0.0,0
Krdbot,0.0,0.0,0.00022519141270079568,0.022058823529411766,0,0,0.0,0
MineoBot,0.0,1.1464800197194563e-05,0.0,0.0,0,0,0.0,0
Atobot,0.0,0.0,0.0,0.003676470588235294,0,0,0.0,0
AliciaFagervingWMSE-bot,0.0,0.00010891560187334836,0.0,0.0,0,0,0.0,0
NikkiBot,0.0,0.06053987744128589,0.0012385527698543762,0.0,0,0,0.0,0
SuccuBot,0.0,0.00023502840404248854,0.0,0.0,0,0,0.0,0
ZkBot,0.0,1.7197200295791846e-05,0.0,0.003676470588235294,0,0,0.0,0
Sartle.wiki.bot,5.439216752787599e-05,5.7324000985972816e-06,0.0,0.0,0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0
Peter17-Bot,0.0,0.03151100334198926,0.0,0.0,0,0,0.0,0
MalarzBOT,0.0,0.0,0.0001876595105839964,0.0,0,0,0.0,0
Citationgraph bot,0.0,0.0022872276393403152,0.0,0.0,0,0,0.0,0
NoclaimsBot,0.0,5.159160088737554e-05,0.0,0.0,0,0,0.0,0
Dexbot,0.0,1.1464800197194563e-05,0.0,0.0,0,0,0.0,0
ShonagonBot,0.0,0.00011464800197194563,0.0,0.0,0,0,0.0,0
